Sample_ID	Group	Library	Platform
HBC1	CTL	B20	Nv
HBC2	CTL	B20	Nv
HBC3	CTL	B20	Nv
HBC4	CTL	B20	Nv
HBC5	CTL	B20	Nv
HBC6	CTL	B20	Nv
HBC7	CTL	B20	Nv
HBC8	CTL	B20	Nv
HBC9	CTL	B20	Nv
HBC10	CTL	B20	Nv
HBC11	CTL	B20	Nv
HBC12	CTL	B20	Nv
N1	CTL	B12	Nv
N2	CTL	B12	Nv
N3	CTL	B12	Nv
N4	CTL	B12	Nv
N5	CTL	B12	Nv
N6	CTL	B12	Nv
N7	CTL	B12	Nv
N8	CTL	B12	Nv
N9	CTL	B12	Nv
N10	CTL	B12	Nv
N11	CTL	B12	Nv
N12	CTL	B12	Nv
N13	CTL	B14	Nv
N14	CTL	B14	Nv
N15	CTL	B11	Nv
N16	CTL	B14	Nv
N17	CTL	B11	Nv
N18	CTL	B14	Nv
N20	CTL	B14	Nv
N21	CTL	B14	Nv
N22	CTL	B14	Nv
N23	CTL	B14	Nv
N24	CTL	B14	Nv
