key	spearman	topN	topN_overlap_frac
P1_A	0.921139070544041	5000	6e-04
P1_C	0.922321272505574	5000	0
P15_A	0.910882211664387	5000	2e-04
P15_C	0.914294230390753	5000	0
P2_A	0.903217731278423	5000	2e-04
P26_A	0.919594936215181	5000	0
P28_A	0.918909384170827	5000	2e-04
P28_C	0.921397655037557	5000	2e-04
P3_C	0.904908788147739	5000	2e-04
P31_A	0.923380448813806	5000	2e-04
P31_C	0.919547890604648	5000	4e-04
P36_A	0.922046909774964	5000	0
P36_C	0.920737048753396	5000	0
P37_A	0.918322672659456	5000	8e-04
P37_C	0.91844351185418	5000	2e-04
P38_A	0.915665185806032	5000	4e-04
P38_C	0.91133620655797	5000	0.0012
P4_A	0.896611542824539	5000	0
P4_C	0.906544361239274	5000	0
P7_A	0.92208152028956	5000	0
P7_C	0.913967652777287	5000	6e-04
P8_A	0.918569522626433	5000	0
P8_C	0.915130898963734	5000	8e-04
P9_A	0.916763812072368	5000	2e-04
P9_C	0.913200965420486	5000	0
