key	spearman	topN	overlap
P1_A	0.962052543861026	5000	0.24
P1_C	0.962900031986713	5000	0.2272
P15_A	0.956209417052123	5000	0.1388
P15_C	0.963558190704696	5000	0.1682
P2_A	0.95771834623234	5000	0.3826
P26_A	0.96645495434133	5000	0.2362
P28_A	0.96358326318923	5000	0.2166
P28_C	0.958327751079424	5000	0.3036
P3_C	0.929667036740703	5000	0.1822
P31_A	0.95724570758938	5000	0.2442
P31_C	0.958468103244274	5000	0.209
P36_A	0.96656299732002	5000	0.2962
P36_C	0.963944351429121	5000	0.2906
P37_A	0.954382186766461	5000	0.1768
P37_C	0.960766847358519	5000	0.2166
P38_A	0.956836645143052	5000	0.126
P38_C	0.959085215848669	5000	0.1746
P4_A	0.913323689708301	5000	0.2886
P4_C	0.934152580208258	5000	0.2696
P7_A	0.963658676829179	5000	0.218
P7_C	0.950801029535823	5000	0.1
P8_A	0.959969377997789	5000	0.2016
P8_C	0.945652705856048	5000	0.2
P9_A	0.953193011341217	5000	0.2828
P9_C	0.955733591612221	5000	0.2646
