key	ic_filter_quantile	pc	topN	spearman	topN_overlap
P1_A	0.15	0.1	5000	0.962484221811235	0.2006
P1_C	0.15	0.1	5000	0.963490545915426	0.1844
P15_A	0.15	0.1	5000	0.956193099078603	0.1022
P15_C	0.15	0.1	5000	0.963441608371714	0.1288
P2_A	0.15	0.1	5000	0.95738888587617	0.342
P26_A	0.15	0.1	5000	0.966711627581916	0.1904
P28_A	0.15	0.1	5000	0.96378239610209	0.168
P28_C	0.15	0.1	5000	0.959475332990297	0.2612
P3_C	0.15	0.1	5000	0.930771582993012	0.1358
P31_A	0.15	0.1	5000	0.958318949623991	0.1994
P31_C	0.15	0.1	5000	0.959211224112539	0.1698
P36_A	0.15	0.1	5000	0.966967853201204	0.2486
P36_C	0.15	0.1	5000	0.964515494097652	0.2424
P37_A	0.15	0.1	5000	0.95527297090607	0.1326
P37_C	0.15	0.1	5000	0.961269907683052	0.1638
P38_A	0.15	0.1	5000	0.957037451744878	0.0922
P38_C	0.15	0.1	5000	0.958952759607612	0.1346
P4_A	0.15	0.1	5000	0.914845836016292	0.2336
P4_C	0.15	0.1	5000	0.935398795607194	0.228
P7_A	0.15	0.1	5000	0.964282684373295	0.1712
P7_C	0.15	0.1	5000	0.951120013684068	0.0652
P8_A	0.15	0.1	5000	0.960207347492427	0.1662
P8_C	0.15	0.1	5000	0.946779693169207	0.1546
P9_A	0.15	0.1	5000	0.954470445278542	0.2392
P9_C	0.15	0.1	5000	0.956361568632955	0.2202
