ic_filter_quantile	spearman_median	spearman_IQR	overlap_median	overlap_IQR	n_keys
0.05	0.958500851611587	0.0070745105356016	0.0602	0.0422	25
0.1	0.959351568974314	0.00701774168799674	0.128	0.0742	25
0.15	0.958952759607612	0.008168637465644	0.1712	0.0922	25
0.2	0.958696230664474	0.0084777618656936	0.2092	0.0906	25
0.25	0.958515815866266	0.00862972613987867	0.234	0.0832	25
0.3	0.958621406444594	0.0086895790705469	0.2488	0.088	25
0.35	0.958915254640655	0.00868197735004672	0.266	0.0866	25
0.4	0.959350193473934	0.00869987658745885	0.2828	0.0852	25
0.45	0.959866298694442	0.0088559521596433	0.2976	0.0844	25
0.5	0.960098655442063	0.00903292348539853	0.3184	0.0804	25
